key,product_name,currency_symbol,price,product_url,color,title
867130AAGOQ1057,Gucci Horsebit Web mini bag,$,1450.0,https://www.gucci.com/us/en/pr/women/handbags/mini-bags-for-women/gucci-horsebit-web-mini-bag-p-867130AAGOQ1057,Black,"Gucci Horsebit Web mini bag $ 1,450 Black"
863406AAGDT1053,,,,https://www.gucci.com/us/en/pr/-p-863406AAGDT1053,,
863406FAFV99653,Lunetta small crossbody bag,$,1280.0,https://www.gucci.com/us/en/pr/men/bags-for-men/messengers-crossbody-bags-for-men/lunetta-small-crossbody-bag-p-863406FAFV99653,Beige,"Lunetta small crossbody bag $ 1,280 Beige"
863406AAGF71054,Lunetta small crossbody bag,$,1600.0,https://www.gucci.com/us/en/pr/men/bags-for-men/messengers-crossbody-bags-for-men/lunetta-small-crossbody-bag-p-863406AAGF71054,Black,"Lunetta small crossbody bag $ 1,600 Black"
855371FAF059651,GG Marmont small shoulder bag,$,2650.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gg-marmont-small-shoulder-bag-p-855371FAF059651,Beige,"GG Marmont small shoulder bag $ 2,650 Beige"
850676FAF059651,GG Marmont medium shoulder bag,$,2980.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gg-marmont-medium-shoulder-bag-p-850676FAF059651,Beige,"GG Marmont medium shoulder bag $ 2,980 Beige"
867360FAF059651,GG Marmont mini shoulder bag,$,1900.0,https://www.gucci.com/us/en/pr/women/handbags/crossbody-bags-for-women/gg-marmont-mini-shoulder-bag-p-867360FAF059651,Beige,"GG Marmont mini shoulder bag $ 1,900 Beige"
855279FAF059651,GG Marmont medium tote bag,$,2950.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gg-marmont-medium-tote-bag-p-855279FAF059651,Beige,"GG Marmont medium tote bag $ 2,950 Beige"
A00231FAGBY9651,Gucci Tag mini bag,$,1100.0,https://www.gucci.com/us/en/pr/women/handbags/mini-bags-for-women/gucci-tag-mini-bag-p-A00231FAGBY9651,Beige,"Gucci Tag mini bag $ 1,100 Beige"
A00231FAGBX1000,Gucci Tag mini bag,$,980.0,https://www.gucci.com/us/en/pr/women/handbags/mini-bags-for-women/gucci-tag-mini-bag-p-A00231FAGBX1000,Black,Gucci Tag mini bag $ 980 Black
